nama_premis,alamat,nama_jalan,bandar,daerah,negeri,poskod,jenis_urus_niaga,pdl_pp_tkh_kuatkuasa_hingga
FARMASI HAKIM,"6, Kedai PKNP Simpang 4",Bangunan PKNP,Kampung Gajah,Perak Tengah,Perak,36800,Runcit,2020/12/31 00:00:00.000
Farmasi Hana [FARMASI HANA],"LOT 999-C, Kampung Kota Jembal,Sering",Jalan Tawang,Kota Bharu,Kota Bharu,Kelantan,16150,Runcit,2020/12/31 00:00:00.000
FARMASI HANEEM,A 31,Jalan IM 2,"Bandar Indera Mahkota, Kuantan",Kuantan,Pahang,25200,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi Harmoni [FARMASI HARMONI],62,"Lorong Perda Utama 1, Bandar Perda",Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang,14000,Runcit,2020/12/31 00:00:00.000
Farmasi Harmoni Shifa Sdn Bhd,No. 19,"Jalan Medan Kamunting 1, Medan Kamunting",Kamunting,"Larut, Matang & Selama",Perak,34600,Runcit,2020/12/31 00:00:00.000
FARMASI HARMONI SHIFA SDN BHD [FARMASI HARMONI SHIFA],"5, PERSIARAN POKOK SENA",Pusat Perniagaan Pokok Sena,Kepala Batas,Seberang Perai Utara,Pulau Pinang,13220,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI HARTAMAS,75,"Lebuh Lapangan Siber 1, Bandar Cyber",Ipoh,Kinta,Perak,31350,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI HASREEN,LOT 2724-B Wisma Haminah,Jalan Tok Kenali,kubang kerian,Kota Bharu,Kelantan,16150,Runcit,2020/12/31 00:00:00.000
Farmasi Hata Square,A2-G-01,Jalan Mewah 1/3 Hata Square Pandan Mewah,Ampang,Hulu Langat,Selangor,68000,Runcit,2020/12/31 00:00:00.000
FARMASI HAYAH,"LOT 1125B, TGKT BAWAH",Simpang 4 Pauh Panji,Kota Bharu,Kota Bharu,Kelantan,16100,Runcit,2020/12/31 00:00:00.000
Farmasi Hayat [Farmasi Hayat],PT 756,Kawasan Perniagaan Beris Kubor Besar,Beris Kubor Besar,Bachok,Kelantan,16050,Runcit,2020/12/31 00:00:00.000
Farmasi Hayyan,No 19,Jalan Seroja 3 Taman Seroja Bandar Baru Salak Tinggi,Sepang,Sepang,Selangor,43900,Runcit,2020/12/31 00:00:00.000
Farmasi Health Point Sdn Bhd,19,Jalan SS 3/29 University Garden,Petaling Jaya,Petaling,Selangor,47300,Runcit,2020/12/31 00:00:00.000
FARMASI HELKEN,NO.35,Jalan Raja,Teluk Intan,Hilir Perak,Perak,36000,Runcit,2020/12/31 00:00:00.000
FARMASI HIDAYAH,A/G 61-63 PENGKALAN EMAS MALL,Jalan Pasir Puteh,Ipoh,Kinta,Perak,31650,Runcit,2020/12/31 00:00:00.000
FARMASI HIJRAH,"No. 13, Grd Flr","Jalan CP 1/21A, Taman Cheng Perdana",Cheng,Melaka Tengah,Melaka,75250,Runcit,2020/12/31 00:00:00.000
FARMASI HIJRAHCARE [FARMASI HIJRAHCARE],Lot 185,Jalan Tuan Hitam,Jerteh,Besut,Terengganu,22000,Runcit,2020/12/31 00:00:00.000
Farmasi Hing Sdn Bhd,No.2 & 3,"Off Jalan Tazali, Jalan Lumut",Sitiawan,Manjung,Perak,32000,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi Hing Sdn Bhd,2458,Taman Samudera,Seri Manjung,Manjung,Perak,32040,Runcit,2020/12/31 00:00:00.000
Farmasi HKS,No. 9,"Jalan Indah, Taman Pertama Indah, Sungai Abong",Muar,Muar,Johor,84000,Runcit,2020/12/31 00:00:00.000
FARMASI HUTAN MELINTANG SDN BHD,No.4,"Taman Sri Perak, Simpang Empat",Hutan Melintang,Hilir Perak,Perak,36400,Runcit,2020/12/31 00:00:00.000
FARMASI HUTAN MELINTANG SDN BHD [FARMASI BAGAN DATUK],no.5  TINGKAT BAWAH,"Lorong Simpang Tiga 1, Taman Simpang Tiga",Selekoh,Hilir Perak,Perak,36200,Runcit,2020/12/31 00:00:00.000
FARMASI IBNU SINA,LOT 5682,Taman D Lahar Kg Gong Kepas,Kampung Raja,Besut,Terengganu,22200,Runcit,2020/12/31 00:00:00.000
FARMASI ICARE MUKAH,49,Jalan Mohd Fauzi,Mukah,Mukah,Sarawak,96400,Runcit,2020/12/31 00:00:00.000
FARMASI IDAMAN,107,Taman Sri Seladang,Lunas,Kulim,Kedah,09600,Runcit,2020/12/31 00:00:00.000
Farmasi Idaman Sdn. Bhd.,190,"Jalan Besar, Taman Sembrong Baru",Yong Peng,Batu Pahat,Johor,83700,Runcit,2020/12/31 00:00:00.000
Farmasi Ihsan,"No. 3, Tingkat Bawah","Jalan Sri Temenggong 26/1, Taman Sri Temenggong, Jalan Temenggong Ahmad",Muar,Muar,Johor,84000,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi Ikhlas,No 584,Jalan Samudra Utara 2 Taman Samudra,Batu Caves,Gombak,Selangor,68100,Runcit,2020/12/31 00:00:00.000
FARMASI IKHTIAR,6,Jalan Simpang Tiga,Kangar,Kangar,Perlis,01000,Runcit,2020/12/31 00:00:00.000
FARMASI IKHWAN,No.11,"Jalan Rapat Bistari 1, Taman Rapat Bistari",Ipoh,Kinta,Perak,31350,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI IKHWAN,No.17,"Jalan Meru Bestari A6, Medan Meru Bestari, Bandar Meru Raya",Ipoh,Kinta,Perak,30020,Runcit,2020/12/31 00:00:00.000
FARMASI ILHAM AZAMJAYA SDN BHD [FARMASI AZAMJAYA],"NO 3478, Jalan Lagenda 1/6",Taman Lagenda,Padang Serai,Kulim,Kedah,09400,Runcit,2020/12/31 00:00:00.000
FARMASI IMAN SDN BHD [FARMASI IMAN],PT. 363,Kedai Melor,Melor,Kota Bharu,Kelantan,16400,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi Indah,A 7 & 8,Aked MARA,Gerik,Hulu Perak,Perak,33300,Runcit,2020/12/31 00:00:00.000
FARMASI INDAH (MARANG) SDN BHD [FARMASI MARANG],Lot 8925 PT 15162,Kompleks Komersial Marang,Bandar Marang,Marang,Terengganu,21600,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI INDAH (MARANG) SDN BHD [FARMASI NADIA],"Aras G, No B-58",Lorong Alur Ladang 1,Beserah,Kuantan,Pahang,26100,Runcit,2020/12/31 00:00:00.000
FARMASI INDAH (MARANG) SDN BHD [FARMASI NADIA],"LOT 50373, KAMPUNG JAYA,",Jalan Air Putih,Chukai,Kemaman,Terengganu,24000,Runcit,2020/12/31 00:00:00.000
FARMASI INDAH (MARANG) SDN. BHD. [FARMASI NADIA],No. 65,Jalan Sultan Ismail,Kuala Terengganu,Kuala Terengganu,Terengganu,20200,Runcit,2020/12/31 00:00:00.000
Farmasi Intan,11,"Jalan Temenggong 2, Pusat Bandar Parit Buntar",Parit Buntar,Kerian,Perak,34200,Runcit,2020/12/31 00:00:00.000
Farmasi Inti,26,Jalan Raja,Tapah,Batang Padang,Perak,35000,Runcit,2020/12/31 00:00:00.000
Farmasi Ipoh Garden South Sdn Bhd,12-14,"Tingkat Taman Ipoh 12, Taman Ipoh Selatan",Ipoh,Kinta,Perak,31400,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI IRFA,"NO 119, PUSAT BANDAR BARAT",Bandar Darulaman,Jitra,Kubang Pasu,Kedah,06000,Runcit,2020/12/31 00:00:00.000
FARMASI IRWAN,NO 5,"Jalan PP1, Bandar Universiti Seri Iskandar",Seri Iskandar,Perak Tengah,Perak,32610,Runcit,2020/12/31 00:00:00.000
FARMASI ISIHAT SDN BHD,No.144,"Jalan PPMP 9, Pusat Perniagaan Manjung Point 1,",Seri Manjung,Manjung,Perak,32040,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI ISIHAT SDN. BHD.,"No 2280, Taman Samudera",Jalan Dato Yu Neh Huat,Seri Manjung,Manjung,Perak,32040,Runcit,2020/12/31 00:00:00.000
FARMASI ISLAH SDN BHD,No. 146,Jalan Rugayah,Batu Pahat,Batu Pahat,Johor,83000,Runcit,2020/12/31 00:00:00.000
Farmasi Ismi [Farmasi Ismi],"no.3,Tingkat Bawah, Bangunan MDB",Stesen Bas Kuala Besut,Besut,Besut,Terengganu,22300,Runcit,2020/12/31 00:00:00.000
FARMASI JACKSON [FARMASI JACKSON],A-G-9,Lintang Batu Maung 4,Batu Maung,Barat Daya,Pulau Pinang,11960,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI JANNAH,NO 87,Jalan Besar,Batu Kurau,"Larut, Matang & Selama",Perak,34500,Runcit,2020/12/31 00:00:00.000
FARMASI JASIN,"JA 9945, Tingkat Bawah Bandar Jasin 3",Bandar Baru Jasin III,Jasin,Jasin,Melaka,77000,Runcit,2020/12/31 00:00:00.000
Farmasi Jaya,"79- B, Taman Sri Limau",Jalan Paya Besar,Lunas,Kulim,Kedah,09600,Runcit,2020/12/31 00:00:00.000
Farmasi Jaya 22 Sdn Bhd,"No. 23, Tingkat Bawah","Jalan Sarikei, Off Jalan Pahang",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,53000,Runcit,2020/12/31 00:00:00.000
FARMASI JAYA GADING SDN BHD,"B-36, Tingkat Bawah",Lorong Jaya Gading 12,"Bandar Baru Jaya Gading, Kuantan",Kuantan,Pahang,26070,Runcit,2020/12/31 00:00:00.000
FARMASI JAYA TANJUNG KLING,No. 3,"Jalan TJ 1, Taman Tanjung Jaya",Tanjong Kling,Melaka Tengah,Melaka,76400,Runcit,2020/12/31 00:00:00.000
FARMASI JENIANG [FARMASI JENIANG],NO 15-A,Pekan Jeniang,Jeniang,Kuala Muda,Kedah,08700,Runcit,2020/12/31 00:00:00.000
Farmasi Jenjarom,No 17,Jalan Ria Taman Ria,Jenjarom,Kuala Langat,Selangor,42600,Runcit,2020/12/31 00:00:00.000
FARMASI JERING,110,"Jalan Bpj 1/1, Seksyen 1, Bandar Puteri Jaya",Sungai Petani,Kuala Muda,Kedah,08000,Runcit,2020/12/31 00:00:00.000
FARMASI JERLUN,NO 66,"TAMAN SEPAKAT FASA 2, JALAN BATAS PAIP",Kuala Kedah,Kota Setar,Kedah,06600,Runcit,2020/12/31 00:00:00.000
FARMASI JUARA (SEGAMAT) SDN BHD,No 1,Jalan Semantan 4,"Lurah Semantan, Temerloh",Temerloh,Pahang,28000,Runcit,2020/12/31 00:00:00.000
FARMASI KAHANG,NO.2,"Jalan Kahang Muhibbah, Taman Kahang Muhibbah",Kahang,Kluang,Johor,86700,Runcit,2020/12/31 00:00:00.000
FARMASI KAMUNTING,55,"Jalan Medan Kamunting 1, Medan Kamunting",Kamunting,"Larut, Matang & Selama",Perak,34600,Runcit,2020/12/31 00:00:00.000
FARMASI KANGSAR SDN BHD,29,Jalan Kangsar,Kuala Kangsar,Kuala Kangsar,Perak,33000,Runcit,2020/12/31 00:00:00.000
FARMASI KAUTHAR,NO. 4,Bangunan Koperasi Bersatu,Pengkalan Hulu,Hulu Perak,Perak,33100,Runcit,2020/12/31 00:00:00.000
Farmasi Keluarga Greenwood,No SH 1,Jalan Satu Taman Greenwood,Batu Caves,Gombak,Selangor,68100,Runcit,2020/12/31 00:00:00.000
FARMASI KENANGAN,NO 263,"TAMAN KENANGAN, SUNGAI KARANGAN",Padang Serai,Kulim,Kedah,09410,Runcit,2020/12/31 00:00:00.000
FARMASI KEPALA BATAS [FARMASI KEPALA BATAS],3,"Persiaran Seksyen 4/6, Bandar Putra Bertam",Kepala Batas,Seberang Perai Utara,Pulau Pinang,13200,Runcit,2020/12/31 00:00:00.000
Farmasi Kepong Sdn Bhd [Farmasi Alpha.Com],No 22G,Jalan 54 Desa Jaya,Kepong,Gombak,Selangor,52100,Runcit,2020/12/31 00:00:00.000
Farmasi Kerayong,No 24 Meranti Bunga Taman Seri Mewah,Batu 7 Jalan Meru,Klang,Klang,Selangor,41050,Runcit,2020/12/31 00:00:00.000
FARMASI KESUMA,"37, Tingkat Bawah","Jalan 4/21D, Medan Idaman Business Centre, Jalan Gombak",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,53000,Runcit,2020/12/31 00:00:00.000
FARMASI KETEREH [FARMASI KETEREH],PT 377,Kedai Ketereh,Ketereh,Kota Bharu,Kelantan,16450,Runcit,2020/12/31 00:00:00.000
FARMASI KFK HOSPITAL SIBU [FARMASI KFK],"Blok A, Klinik Pakar Hospital Sibu, Batu 5 1/2",Jalan Ulu Oya,Sibu,Sibu,Sarawak,96000,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI KHALIFA [FARMASI KHALIFA],"NO B5, LOT 469, KEDAI MULONG",Jalan Kuala Krai,Kota Bharu,Kota Bharu,Kelantan,16010,Runcit,2020/12/31 00:00:00.000
Farmasi Kita,No. 12,Jalan Tenang,Labis,Segamat,Johor,85300,Runcit,2020/12/31 00:00:00.000
FARMASI KITA SDN BHD,53,"Kompleks Perniagaan Al-Azim, Bukit Baru",Melaka,Melaka Tengah,Melaka,75150,Runcit,2020/12/31 00:00:00.000
Farmasi KK Sdn. Bhd. [Farmasi KK],C-77,"LORONG 9, TAMAN SEJATI INDAH",Sungai Petani,Kuala Muda,Kedah,08000,Runcit,2020/12/31 00:00:00.000
FARMASI KNZ [FARMASI KNZ],No 19 & 20,"Taman Enggang, Jalan Langgar",Alor Setar,Kota Setar,Kedah,05460,Runcit,2020/12/31 00:00:00.000
FARMASI KODIANG,NO.1,Taman Bahagia 2,Kodiang,Kubang Pasu,Kedah,06100,Runcit,2020/12/31 00:00:00.000
FARMASI KOTA PERMAI SDN. BHD. [FARMASI KOTA PERMAI],48,"Lorong Kota Permai 11, Taman Kota Permai",Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang,14000,Runcit,2020/12/31 00:00:00.000
FARMASI KOTA PUTRA [FARMASI KOTA PUTRA],"NO. 12, Tingkat Bawah Perkedaian Kota Putra",Jalan Aman,Kg. Raja,Besut,Terengganu,22200,Runcit,2020/12/31 00:00:00.000
FARMASI KOTA SARANG SEMUT [FARMASI SEMUT GAGAH],No. 65 Ground Floor,Pusat Perniagaan Kota Jaya,Kota Sarang Semut,Kota Setar,Kedah,06800,Runcit,2020/12/31 00:00:00.000
Farmasi Kota Sdn Bhd,14,"Jalan Cempaka 1, Taman Seri Cempaka, Peringgit",Melaka,Melaka Tengah,Melaka,75400,Runcit,2020/12/31 00:00:00.000
FARMASI KRUBONG,NO 51,"Jalan Satu Krubong, Taman Satu Krubong",Melaka,Melaka Tengah,Melaka,75260,Runcit,2020/12/31 00:00:00.000
FARMASI KUALA BERANG SDN BHD [FARMASI KUALA BERANG],LOT 5928,Simpang Sekayu,Kuala Berang,Hulu Terengganu,Terengganu,21700,Runcit,2020/12/31 00:00:00.000
Farmasi Kuala Kubu Bharu Sdn Bhd [Farmasi KKB],No 10,Jalan Abdul Hamid,Kuala Kubu Bharu,Hulu Selangor,Selangor,44000,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi Kuala Nerang [Farmasi Kuala Nerang],No. 10B,Jalan Kuala Nerang,Kuala Nerang,Padang Terap,Kedah,06300,Runcit,2020/12/31 00:00:00.000
FARMASI KUALA NERUS SDN BHD [FARMASI GPHARMAX BUKIT TUNGGAL],LOT 25057-5/6,Jalan Bukit Tunggal,Kampung Tebauk,Kuala Nerus,Terengganu,21200,Runcit,2020/12/31 00:00:00.000
FARMASI KUALA NERUS SDN BHD [FARMASI GPHARMAX KUALA NERUS],10376,Kampung Gong Datuk,Mengabang Telipot,Kuala Terengganu,Terengganu,21030,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi Kuala Selangor,66,Jalan Melati 3/1 Bandar Melawati,Kuala Selangor,Kuala Selangor,Selangor,45000,Runcit,2020/12/31 00:00:00.000
Farmasi Kuang,No 3 Masgenuine Square,Jalan Melati Kuang,Rawang,Gombak,Selangor,48050,Runcit,2020/12/31 00:00:00.000
Farmasi Lagenda [Farmasi Lagenda],37,"Jalan Putra, Taman Tanjung Petri",Kuala Ketil,Baling,Kedah,09300,Runcit,2020/12/31 00:00:00.000
FARMASI LANGKAP,2676,"Taman Baru, Jalan Kampar",Langkap,Hilir Perak,Perak,36700,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi Lawan Kuda,381A,Lawan Kuda Baru,Gopeng,Kampar,Perak,31600,Runcit,2020/12/31 00:00:00.000
FARMASI LAWAS,"Lot 576, Tingkat Bawah",Jalan Datuk Pengiran Hj. Matussin,Lawas,Lawas,Sarawak,98850,Runcit,2020/12/31 00:00:00.000
FARMASI LEE,"B-622, Tingkat Bawah",Jalan Air Putih,Kuantan,Kuantan,Pahang,25300,Runcit,2020/12/31 00:00:00.000
FARMASI LEE MS,12,"Jalan Sultan Abdullah, Taman Ros",Teluk Intan,Hilir Perak,Perak,36000,Runcit,2020/12/31 00:00:00.000
Farmasi Lemed Sdn Bhd,7,Jalan Sulaiman,Kajang,Hulu Langat,Selangor,43000,Runcit,2020/12/31 00:00:00.000
Farmasi Lemed Sdn Bhd,3907,Jalan Kolej,Seri Kembangan,Hulu Langat,Selangor,43300,Runcit,2020/12/31 00:00:00.000
Farmasi Lenggong,A1 Plaza MARA Lenggong,Jalan Besar,Lenggong,Hulu Perak,Perak,33400,Runcit,2020/12/31 00:00:00.000
Farmasi Ligamas,No 47,Jalan Meranti 1A Bandar Utama,Batang Kali,Hulu Selangor,Selangor,44300,Runcit,2020/12/31 00:00:00.000
FARMASI LIMBONGAN (M) SDN BHD,"No. 7, 9, 9-1","Jalan Kristal 1, Taman Limbongan Indah",Melaka,Melaka Tengah,Melaka,75200,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI LINDA,"A-53, Jalan Kg Sg Isap",Jalan Gambang,Kuantan,Kuantan,Pahang,25150,Runcit,2020/12/31 00:00:00.000
Farmasi LP Sdn. Bhd. [Farmasi LP],82,"Jalan Mega Mendung, Bandar Park, Batu 5, Jalan Klang Lama",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,58200,Runcit,2020/12/31 00:00:00.000
FARMASI LUNAS,42F,Jalan Raya,Lunas,Kulim,Kedah,09600,Runcit,2020/12/31 00:00:00.000
FARMASI MAHSURI,NO 16,"Jalan Mahsuri 10/B, Taman Mahsuri Fasa 3c",Padang Serai,Kulim,Kedah,09400,Runcit,2020/12/31 00:00:00.000
Farmasi Makmur Jaya [Farmasi Makmur Jaya],Lot 1970-R,Jalan Pondok Kenali,Kota Bharu,Kota Bharu,Kelantan,16150,Runcit,2020/12/31 00:00:00.000
FARMASI MANIR [FARMASI MANIR],MPKT 11350-B,Pekan Manir,Kuala Terengganu,Kuala Terengganu,Terengganu,21200,Runcit,2020/12/31 00:00:00.000
FARMASI MANJOI,23-25A,"Jalan Raja, Kg Manjoi",Ipoh,Kinta,Perak,30020,Runcit,2020/12/31 00:00:00.000
Farmasi Manjung Kasih Sdn Bhd,"81, Pusat Perniagaan Manjung",Jalan Lumut,Seri Manjung,Manjung,Perak,32040,Runcit,2020/12/31 00:00:00.000
Farmasi Maxheal Sdn Bhd,5-0-6,"Jalan 3/109F, Danau Business Centre, Taman Danau Desa, Off Jalan Klang Lama",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,58100,Runcit,2020/12/31 00:00:00.000
Farmasi Medan Simpang,No.16,Medan Simpang,Simpang,"Larut, Matang & Selama",Perak,34700,Runcit,2020/12/31 00:00:00.000
Farmasi Medi Ehsan SDN BHD [FARMASI MEDI EHSAN],"LOT 1173, Kedai Ketereh",Jalan Kuala Krai,Ketereh,Kota Bharu,Kelantan,16450,Runcit,2020/10/19 00:00:00.000
FARMASI MEDI MESRA [FARMASI MEDI MESRA],PT 7749 Taman Mesra,Jalan Persiaran Raya,Gua Musang,Gua Musang,Kelantan,18300,Runcit,2020/12/31 00:00:00.000
FARMASI MEDIGLO,B-2006 & B-2008,Jalan Air Putih,Kuantan,Kuantan,Pahang,25300,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI MEDIGLO,"A3, Tingkat Bawah","Lorong Peramu Aman 30, Jalan Tanjung Lumpur",Kuantan,Kuantan,Pahang,26060,Runcit,2020/12/31 00:00:00.000
FARMASI MEDIPLUS,"F-B1, Tingkat 1","Pudu Plaza, Jalan Landak",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,55100,Runcit,2020/12/31 00:00:00.000
Farmasi Medisa [Farmasi Medisa],PT 370,Jalan Bakat,Machang,Machang,Kelantan,18500,Runcit,2020/12/31 00:00:00.000
FARMASI MEDIVITA,38G,"Jalan Taman Komersial Senawang 7, Taman Komersial Senawang",Seremban,Seremban,Negeri Sembilan,70450,Runcit,2020/12/31 00:00:00.000
FARMASI MEDIVITA [FARMASI MEDIVITA],38G,"Jalan Taman Komersial Senawang 7, Taman Komersial Senawang","Taman Komersial, Senawang",Seremban,Negeri Sembilan,70450,Runcit,2020/12/31 00:00:00.000
Farmasi Mee Mi [Farmasi Mee Mi],207,Jalan Raja Syed Alwi,Kangar,Kangar,Perlis,01000,Runcit,2020/12/31 00:00:00.000
FARMASI MEERA,"No 44, Ground Floor, Malay Town",Jalan Putra Square 1,Kuantan,Kuantan,Pahang,25200,Runcit,2020/12/31 00:00:00.000
FARMASI MEGA CARE,No. 193,Kampung Banggol Air Lilih,Gong Badak,Kuala Terengganu,Terengganu,21300,Runcit,2020/12/31 00:00:00.000
FARMASI MERBOK JAYA SDN BHD [FARMASI MERBOK JAYA],NO 26A,"Jalan Bujang Indah, Taman Lembah Bujang Indah",Bedong,Kuala Muda,Kedah,08100,Runcit,2020/12/31 00:00:00.000
Farmasi Mesra [Farmasi Mesra],"S/61, PT 421 Tingkat Bawah, Kg. Bunut Payong Batu 2 1/2",Jalan Kuala Krai,Kota Bharu,Kota Bharu,Kelantan,15150,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi MesraPharma,No. 19,"Jalan Gambir 2, Bandar Baru Bukit Gambir",Bukit Gambir,Tangkak,Johor,84800,Runcit,2020/12/31 00:00:00.000
Farmasi Millenium (Sri Sentosa) Sdn Bhd,"L1-013, Tingkat Bawah","Jalan 8a/133, Taman Sri Sentosa",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,58000,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi Millenium Sdn Bhd [Farmasi Alpha.com],41,Jalan SS 24/8 Taman Megah,Petaling Jaya,Petaling,Selangor,47301,Runcit,2020/12/31 00:00:00.000
FARMASI MOHD ZUBIR SDN BHD,NO 14,TAMAN BANDAR BARU,Pokok Sena,Kota Setar,Kedah,06400,Runcit,2020/12/31 00:00:00.000
FARMASI MUADZAM SHAH SDN BHD [FARMASI MUADZAM SHAH],MM 170,Medan Mewah,Bandar Muadzam Shah,Rompin,Pahang,26700,Runcit,2020/12/31 00:00:00.000
Farmasi Muammar [FARMASI MUAMMAR],LOT 8621,Jalan ismail petra,Tanah Merah,Tanah Merah,Kelantan,17500,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi Muammar [Farmasi Muammar],PT 4905 Taman Kota Harmoni,Jalan Cempaka Merah,Tanah Merah,Tanah Merah,Kelantan,17500,Runcit,2020/12/31 00:00:00.000
Farmasi Muda Sdn Bhd,21,Jalan Makmur 25/64 Taman Sri Muda Seksyen 25,Shah Alam,Petaling,Selangor,40400,Runcit,2020/12/31 00:00:00.000
FARMASI MUHIBAH SDN.BHD.,"NO. 3, KOMPLEKS NIAGA YAN",Yan Kechil,Yan,Yan,Kedah,06900,Runcit,2020/12/31 00:00:00.000
Farmasi Mulia (Batu Pahat) Sdn. Bhd.,No. 11,"Jalan Kilang, Kawasan Perindustrian Tongkang Pechah",Tongkang Pecah,Batu Pahat,Johor,83010,Runcit,2020/12/31 00:00:00.000
FARMASI MURNI MARKETING SDN BHD,No. 55,"Lorong Setia 1, Ayer Keroh Heights",Melaka,Melaka Tengah,Melaka,75450,Runcit,2020/12/31 00:00:00.000
Farmasi Murni Marketing Sdn. Bhd.,No. 5,"Jalan Kristal, Taman Kristal",Parit Raja,Batu Pahat,Johor,86400,Runcit,2020/12/31 00:00:00.000
Farmasi Murni Marketing Sdn. Bhd.,No. 15,"Jalan Bintang Ria 1, Taman Bintang Ria",Simpang Renggam,Kluang,Johor,86200,Runcit,2020/12/31 00:00:00.000
Farmasi Murni Marketing Sdn. Bhd.,20,Jalan Sulong,Parit Sulong,Batu Pahat,Johor,83500,Runcit,2020/12/31 00:00:00.000
Farmasi Murni Marketing Sdn. Bhd.,No. 170,"Jalan Besar, Taman Sembrong Baru",Yong Peng,Batu Pahat,Johor,83700,Runcit,2020/12/31 00:00:00.000
Farmasi Murni Marketing Sdn. Bhd.,No. 3 & 4,"Jalan Kundang, Taman Bukit Pasir",Batu Pahat,Batu Pahat,Johor,83000,Borong & Runcit,2020/12/31 00:00:00.000
FARMASI MURNI MARKETING SDN. BHD. [FARMASI MURNI],Ground Floor AG 9497,Jalan Besar,Alor Gajah,Alor Gajah,Melaka,78000,Runcit,2020/12/31 00:00:00.000
FARMASI MUTIARA (KEDAH) SDN BHD,923,Jalan Sultan Badlishah,Alor Setar,Kota Setar,Kedah,05000,Runcit,2020/12/31 00:00:00.000
Farmasi My-Chemist (JEC) Sdn Bhd,30,"Jalan Todak 2, Pusat Bandar Seberang Jaya",Perai,Seberang Perai Tengah,Pulau Pinang,13700,Runcit,2020/12/31 00:00:00.000
FARMASI MY-CHEMIST (KG BARU) SDN BHD,"2828, Tingkat Bawah","Jalan Kampung Baru, Taman Tampoi",Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang,14000,Runcit,2020/12/31 00:00:00.000
FARMASI MY-CHEMIST (R.UDA) SDN. BHD. [FARMASI MY-CHEMIST],21,"Tingkat Mawar, Jalan Raja Uda",Butterworth,Seberang Perai Utara,Pulau Pinang,12300,Runcit,2020/12/31 00:00:00.000
Farmasi My-Chemist Sdn Bhd,7102,Jalan Bagan Ajam,Butterworth,Seberang Perai Tengah,Pulau Pinang,13000,Runcit,2020/12/31 00:00:00.000
Farmasi My-Chemist Sdn Bhd [Farmasi My-Chemist ],7102,"Jalan Bagan Ajam, Taman Bagan Ajam",Butterworth,Seberang Perai Utara,Pulau Pinang,13000,Runcit,2020/12/31 00:00:00.000
FARMASI MY-CHEMIST(B.M) SDN BHD [FARMASI MY-CHEMIST],NO 8,"Tingkat Bukit Minyak 9, Taman Bukit Minyak",Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang,14000,Runcit,2020/12/31 00:00:00.000
FARMASI MYINDAH,NO 13,"Jalan Mutiara Biru, Taman Mutiara",Sg. Kob,Kulim,Kedah,09700,Borong & Runcit,2020/12/31 00:00:00.000
Farmasi Nadi Utama,No 16G,Jalan PJS 5/30 Pusat Perdagangan Petaling Jaya (PJCC),Petaling Jaya,Petaling,Selangor,46150,Runcit,2020/12/31 00:00:00.000
FARMASI NADI UTAMA SDN BHD,"B10 / 1143, Ground Floor, Kampung Baru Sungai Karang",Jalan Kuantan - Kemaman,Kuantan,Kuantan,Pahang,26100,Runcit,2020/12/31 00:00:00.000
FARMASI NADI UTAMA SDN BHD,B16,"Jalan Kempadang Perdana 2, Kempadang",Kuantan,Kuantan,Pahang,26060,Runcit,2020/12/31 00:00:00.000
Farmasi Nadiah,12,"Jalan Gembira 2, Taman Gembira 2, Bukit Batu",Kulai,Kulai,Johor,81000,Runcit,2020/12/31 00:00:00.000
